TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
JBSS3;84,70;4,72;6,02;1,60;0,32;14,55;5,60;2,65;2,85;6,35;3,50;1,97;0,16;2,41;-0,52;1,54;26,62;5,35;13,36;0,20;0,78;2,02;15,31;15,02;162.464.774,23;52,84;14,07;0,03;73.536.898.026,90
JFEN3;1,53;;-0,08;-0,21;0,02;-31,24;-104,02;-124,09;-0,09;-1,41;-1,32;;0,10;0,07;-0,30;1,66;-257,98;-31,33;-270,71;-0,12;1,25;0,25;-0,91;;9.639,24;-7,45;-19,23;0,00;19.588.199,85
JHSF3;5,39;6,91;3,21;0,61;0,24;58,86;92,95;62,89;2,17;4,17;1,99;0,56;2,02;1,11;-0,37;2,48;19,08;7,39;11,41;0,39;0,59;0,12;20,35;28,82;15.938.120,86;8,79;1,68;0,03;3.672.329.654,84
JOPA3;20,51;3,09;30,69;0,36;0,10;20,64;3,69;0,34;2,84;9,71;6,86;0,87;0,10;0,30;-0,34;1,83;1,17;0,31;3,42;0,27;0,66;0,92;12,67;-7,92;0,00;57,01;0,67;-0,40;217.502.698,43
JOPA4;24,00;2,90;35,91;0,42;0,11;20,64;3,69;0,34;3,33;9,71;6,86;0,87;0,12;0,35;-0,40;1,83;1,17;0,31;3,42;0,27;0,66;0,92;12,67;-7,92;0,00;57,01;0,67;-0,46;217.502.698,43
JSLG3;6,30;6,67;15,06;0,99;0,15;16,31;11,79;1,26;1,60;7,49;5,89;3,64;0,19;0,80;-0,23;1,99;6,59;0,98;10,77;0,15;0,85;0,78;23,90;-11,91;2.826.669,82;6,35;0,42;-0,28;1.804.515.791,40
KEPL3;7,88;9,03;9,44;1,94;0,93;26,76;14,50;9,57;6,23;6,17;-0,06;-0,02;0,90;2,84;-2,73;1,98;20,58;9,83;14,69;0,48;0,52;1,03;22,47;31,90;9.102.783,50;4,06;0,83;-0,22;1.416.194.624,40
KLBN11;18,85;5,76;11,15;2,29;0,39;38,55;23,12;10,26;4,95;10,87;5,92;2,74;1,14;2,92;-0,52;2,11;20,50;3,46;7,85;0,17;0,78;0,34;13,85;25,33;66.752.651,00;8,25;1,69;0,37;23.297.401.256,87
KLBN3;3,80;5,72;11,24;2,30;0,39;38,55;23,12;10,26;4,99;10,87;5,92;2,74;1,15;2,94;-0,52;2,11;20,50;3,46;7,85;0,17;0,78;0,34;13,85;25,33;1.106.258,23;1,65;0,34;0,37;23.297.401.256,87
KLBN4;3,77;5,76;11,15;2,29;0,39;38,55;23,12;10,26;4,95;10,87;5,92;2,74;1,14;2,92;-0,52;2,11;20,50;3,46;7,85;0,17;0,78;0,34;13,85;25,33;6.113.254,32;1,65;0,34;0,37;23.297.401.256,87
KRSA3;8,87;;-2,43;1,05;0,14;19,17;11,61;-12,36;2,59;13,65;11,06;4,48;0,30;1,30;-0,20;1,59;-43,14;-5,84;6,50;0,14;0,84;0,47;38,69;;0,00;8,46;-3,65;-0,02;685.959.729,22
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;3,37;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;3,37;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,75;12.391.135.396,59
LAND3;9,39;0,77;55,38;1,23;0,98;94,68;31,58;18,95;33,24;34,23;0,99;0,04;10,50;-37,64;-1,02;0,57;2,23;1,77;3,43;0,79;0,21;0,09;13,88;-0,99;125.178,18;7,61;0,17;-1,37;903.571.173,18
LAVV3;14,78;7,25;7,01;1,85;0,75;34,87;27,13;23,08;5,96;6,08;0,12;0,04;1,62;1,38;-2,90;3,84;26,35;10,76;16,36;0,41;0,53;0,47;51,55;56,25;6.124.713,41;8,00;2,11;0,14;2.888.519.722,56
LCAM3;24,15;;8,39;1,13;0,79;21,34;14,36;18,40;10,75;8,49;-2,27;-0,24;1,54;2,97;-1,15;6,45;13,49;9,38;-11,87;0,70;0,18;0,51;12,12;34,05;;21,32;2,88;0,11;12.285.815.275,65
LEVE3;28,88;9,13;7,28;5,30;1,05;27,03;16,49;10,54;4,65;6,06;1,40;1,60;0,77;6,81;-2,72;1,33;72,76;14,41;24,34;0,20;0,80;1,37;12,53;15,73;6.540.643,14;5,45;3,97;-0,40;3.914.366.320,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;5,52;;0,85;0,37;0,08;17,07;9,25;16,10;1,48;6,12;4,64;1,16;0,14;2,44;-0,10;1,15;43,31;9,25;6,51;0,21;0,79;0,57;2,13;12,76;11.283.397,95;15,00;6,50;0,00;2.056.505.388,48
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;36,01;1,99;16,64;1,82;1,71;;;;19,65;16,43;-3,21;-0,30;;6,65;-2,46;6,18;10,96;10,25;7,90;0,94;0,06;0,00;;;3.601,00;19,74;2,16;0,37;423.653.652,89
LJQQ3;2,42;4,29;-6,72;1,02;0,13;33,75;2,23;-2,68;8,09;6,03;-2,07;-0,26;0,18;0,47;-0,49;1,65;-15,22;-1,99;5,08;0,13;0,87;0,74;14,68;;4.510.949,68;2,37;-0,36;0,03;500.739.776,46
LOGG3;21,67;10,11;5,15;0,51;0,27;97,69;232,52;161,21;3,57;7,49;3,92;0,56;8,30;3,05;-0,34;1,70;9,88;5,16;7,94;0,52;0,48;0,03;11,41;32,59;5.877.697,86;42,57;4,21;0,14;1.903.907.867,18
LOGN3;24,96;;29,93;2,56;0,68;16,12;13,36;3,07;6,88;10,45;3,57;1,33;0,92;18,32;-0,93;1,16;8,56;2,26;9,52;0,26;0,74;0,74;21,58;51,73;237.036,27;9,75;0,83;0,09;2.678.369.890,56
LPSB3;1,45;5,02;7,47;0,88;0,53;79,51;22,15;13,73;4,63;3,10;-1,53;-0,29;1,03;3,94;-0,75;1,83;11,81;7,10;12,53;0,60;0,42;0,52;5,45;;183.712,00;1,64;0,19;0,43;213.954.214,95
LREN3;15,57;4,69;12,06;1,60;0,88;61,17;10,75;8,86;9,94;9,22;-0,72;-0,12;1,07;3,53;-2,13;1,74;13,28;7,30;12,79;0,55;0,45;0,82;8,53;4,47;172.133.325,86;9,72;1,29;0,65;16.501.661.186,94
LTEL3B;86,61;0,72;37,92;4,84;4,84;;;;38,52;38,47;-0,05;-0,01;;507,51;-4,89;26,66;12,77;12,76;12,54;1,00;0,00;0,00;;10,28;;17,89;2,28;-0,85;18.664.056.853,83
LUPA3;1,14;;-1,98;0,47;0,10;17,87;18,99;-29,15;3,04;13,82;10,78;1,66;0,58;-1,87;-0,14;0,83;-23,58;-5,12;4,72;0,22;0,78;0,18;30,38;;155.461,45;2,44;-0,58;0,01;49.836.458,88
LUXM3;0,00;;0,00;0,00;0,00;27,58;13,82;25,87;0,00;5,41;0,05;0,01;0,00;0,00;0,00;1,61;23,25;16,29;5,36;0,70;0,30;0,63;2,77;23,50;;3,86;0,90;0,00;106.646.400,00
LUXM4;4,60;5,05;5,13;1,19;0,83;27,58;13,82;25,87;9,59;5,41;0,05;0,01;1,33;12,19;-1,02;1,61;23,25;16,29;5,36;0,70;0,30;0,63;2,77;23,50;13.977,11;3,86;0,90;0,04;106.646.400,00
LVTC3;3,70;5,14;33,73;0,36;0,16;26,91;6,09;0,80;4,43;1,94;-2,49;-0,20;0,27;0,70;-0,32;1,90;1,08;0,48;6,06;0,45;0,55;0,61;10,59;-19,01;1.082.964,77;10,16;0,11;0,47;234.807.413,10
LWSA3;4,14;2,98;78,06;0,85;0,61;47,60;9,18;2,09;17,80;15,80;-2,00;-0,10;1,64;10,77;-0,88;1,23;1,09;0,78;3,48;0,72;0,28;0,37;28,85;10,68;19.001.360,91;4,87;0,05;0,02;2.343.236.712,84
MAPT3;3,01;;-22,86;-0,43;3,58;;;;-23,05;-23,78;0,00;;;-276,59;-3,58;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;301,00;-7,08;-0,13;0,73;2.854.117,55
MAPT4;3,20;;-24,30;-0,45;3,80;;;;-24,50;-23,78;0,00;;;-294,05;-3,80;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;1.601,75;-7,08;-0,13;0,78;2.854.117,55
MATD3;4,56;1,64;11,92;1,07;0,36;29,06;17,20;6,17;4,28;6,35;2,07;0,52;0,74;1,53;-0,55;3,09;8,94;2,99;8,09;0,33;0,66;0,48;24,89;-1,23;1.064.239,27;4,28;0,38;-0,09;1.547.791.794,00
MDIA3;28,79;2,12;16,63;1,20;0,77;32,75;7,11;5,97;13,98;13,57;-0,41;-0,03;0,99;2,89;-1,44;2,33;7,21;4,62;5,64;0,64;0,36;0,77;9,62;1,05;19.233.217,18;24,01;1,73;-0,44;9.759.810.000,00
MDNE3;25,26;4,91;6,60;1,27;0,47;33,03;16,84;16,47;6,45;7,00;0,55;0,11;1,09;1,53;-0,95;2,54;19,22;7,10;12,95;0,37;0,63;0,43;30,95;;18.512.123,41;19,91;3,83;0,10;2.144.810.812,50
MEAL3;1,37;;-2,98;0,42;0,16;33,85;0,90;-6,23;20,60;33,58;12,98;0,26;0,19;-21,56;-0,20;0,97;-14,05;-5,31;0,68;0,38;0,62;0,85;6,77;;476.746,73;3,27;-0,46;-0,04;392.746.859,80
MELK3;3,76;11,70;6,04;0,73;0,30;25,21;11,07;10,65;5,81;6,11;0,30;0,04;0,64;0,64;-1,18;2,65;12,01;4,95;6,04;0,41;0,53;0,46;12,82;23,10;1.903.428,91;5,19;0,62;0,06;775.572.722,16
MERC3;14,80;;18,14;1,03;0,97;84,46;49,78;30,61;11,15;9,57;;;5,55;20,73;-1,02;;5,67;5,34;;0,94;0,06;0,17;-2,99;13,21;0,00;14,40;0,82;0,11;520.465.075,50
MERC4;9,70;;11,89;0,67;0,64;84,46;49,78;30,61;7,31;9,57;;;3,64;13,59;-0,67;;5,67;5,34;;0,94;0,06;0,17;-2,99;13,21;0,00;14,40;0,82;0,07;520.465.075,50
MGEL3;74,10;;69,51;20,60;0,59;12,30;6,15;0,61;6,93;11,70;8,87;26,35;0,43;6,92;-0,99;1,27;29,64;0,85;7,61;0,03;0,97;1,39;11,25;;0,00;3,60;1,07;-0,51;174.921.124,95
MGEL4;5,85;;5,49;1,63;0,05;12,30;6,15;0,61;0,55;11,70;8,87;26,35;0,03;0,55;-0,08;1,27;29,64;0,85;7,61;0,03;0,97;1,39;11,25;;23.953,20;3,60;1,07;-0,04;174.921.124,95
MGLU3;8,90;3,43;17,06;0,59;0,18;30,66;4,37;1,01;3,93;6,37;2,44;0,37;0,17;1,53;-0,37;1,29;3,48;1,04;6,63;0,30;0,70;1,04;13,85;-16,00;137.814.223,77;15,00;0,52;-0,06;6.577.057.707,20
MILS3;12,22;4,13;9,49;1,87;0,76;63,21;33,84;17,58;4,93;7,07;2,14;0,81;1,67;4,27;-1,12;2,21;19,69;7,96;12,33;0,40;0,59;0,45;29,09;;8.687.996,32;6,54;1,29;1,76;2.861.657.689,54
MLAS3;1,01;;-7,17;0,28;0,16;24,21;0,49;-3,33;49,07;58,42;9,35;0,05;0,24;0,45;-0,48;2,04;-3,89;-2,16;-1,93;0,56;0,44;0,65;12,16;;1.452.547,09;3,62;-0,14;0,09;828.744.617,25
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;18,80;;-23,32;1,24;0,13;36,85;12,73;-0,81;1,48;5,41;3,93;3,30;0,19;-1,44;-0,22;0,82;-5,32;-0,56;17,45;0,10;0,90;0,69;14,83;;30.648,63;15,15;-0,81;0,41;186.515.552,00
MNPR3;42,80;;0,59;1,59;0,71;29,49;47,47;126,32;1,56;1,04;-0,53;-0,53;0,74;2,05;-1,48;2,98;270,70;120,92;7,31;0,45;0,55;0,96;8,54;;187.453,64;26,96;72,99;0,00;303.884.280,00
MOAR3;113,00;44,42;-65,11;1,55;0,68;;;;-9,95;-6,98;2,97;-0,46;;1,57;-1,69;3,68;-2,38;-1,05;-19,70;0,44;0,56;0,00;;;78.851,73;73,01;-1,74;0,61;1.384.387.973,00
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;-0,63;-0,30;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;-0,69;-0,32;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;-0,61;-0,29;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MOSI3;8,24;;2,17;0,14;0,02;0,00;0,00;3,42;;;;0,00;0,07;;-0,02;;6,38;0,74;;0,12;0,88;0,22;;;;59,43;3,79;0,17;1.043.149.227,20
MOTV3;14,73;3,32;14,29;2,02;0,46;38,35;29,61;9,89;4,77;9,95;5,18;2,20;1,41;6,15;-0,55;1,88;14,16;3,23;11,18;0,23;0,77;0,33;15,52;7,68;89.373.614,32;7,28;1,03;0,30;29.754.600.000,00
MOVI3;8,08;2,20;9,81;1,06;0,09;30,93;20,55;2,01;0,96;6,43;5,47;6,06;0,20;-1,26;-0,13;0,77;10,81;0,96;12,90;0,09;0,91;0,48;28,58;4,69;28.196.000,50;7,61;0,82;-0,07;2.811.286.245,28
MRFG3;23,71;11,91;7,19;7,18;0,15;12,80;3,71;1,78;3,44;10,73;7,29;15,19;0,13;2,10;-0,24;1,22;99,86;2,05;2,69;0,02;0,86;1,16;25,01;66,97;116.228.380,59;3,30;3,30;0,00;20.341.475.701,49
MRSA3B;27,88;3,39;6,24;1,14;0,47;43,15;35,63;21,15;3,70;5,42;1,91;0,59;1,32;-41,18;-0,57;0,94;18,34;7,55;11,60;0,41;0,59;0,36;17,02;24,57;15.335,00;24,35;4,47;0,72;8.913.207.444,88
MRSA5B;24,50;4,28;5,48;1,01;0,41;43,15;35,63;21,15;3,26;5,42;1,91;0,59;1,16;-36,19;-0,50;0,94;18,34;7,55;11,60;0,41;0,59;0,36;17,02;24,57;7.350,00;24,35;4,47;0,63;8.913.207.444,88
MRSA6B;25,00;4,19;5,60;1,03;0,42;43,15;35,63;21,15;3,32;5,42;1,91;0,59;1,18;-36,93;-0,51;0,94;18,34;7,55;11,60;0,41;0,59;0,36;17,02;24,57;0,00;24,35;4,47;0,65;8.913.207.444,88
MRVE3;8,05;;-3,16;0,88;0,17;27,82;-3,61;-14,61;-12,79;-34,05;-21,26;1,46;0,46;0,75;-0,36;1,68;-27,79;-5,23;-4,38;0,19;0,78;0,36;8,27;;66.540.309,59;9,16;-2,55;-0,02;4.530.754.701,55
MSPA3;46,00;;-25,87;0,36;0,20;38,28;14,59;-6,59;11,68;17,68;6,18;0,19;1,70;16,94;-0,22;1,15;-1,38;-0,78;1,16;0,57;0,43;0,12;6,03;;4.625,00;128,69;-1,78;0,05;289.986.630,00
MSPA4;40,00;;-22,50;0,31;0,18;38,28;14,59;-6,59;10,15;17,68;6,18;0,19;1,48;14,73;-0,19;1,15;-1,38;-0,78;1,16;0,57;0,43;0,12;6,03;;4.000,00;128,69;-1,78;0,05;289.986.630,00
